,Name,Address,Additional Notes,Source FINAL,Status FINAL,Status FPC,Status Plentiful,Last Updated FINAL,Last Updated FPC,Last Updated Plentiful,Hours FINAL,Hours FPC,Hours Plentiful,Website,ID Required,Zipcode,lat,lng,City,State,id
20,Roman Catholic Church of Mary Queen of Heaven,1304 E 57th St,"- Usually serves those who live in the 11234 zip code
- only once per month ",FPC,open,open,unknown,2/5/2023 7:00 PM,2/6/2023,,Sa 09:30AM-11:30AM,Sa 09:30AM-11:30AM,,https://maryqueenofheaven-brooklyn.org/,yes,11234,40.6214835,-73.9205844,Brooklyn,NY,37e40022-1b39-411c-93ef-6b75b657e4e3
21,Masbia of Rego Park - Food Pantry,98-08 Queens Blvd,"- Use Plentiful app and text 'FOOD' to 726-879 to create an appointment, choose the appropriate abbreviation for the location (MasbiaBP, MasbiaFB, MasbiaQNS)",FPC,open,open,,2/1/2023 7:00 PM,2/2/2023,,"Su-Th 02:00PM-05:00PM
Su-Th 02:00AM-07:00PM",,,https://www.masbia.org/rego_park,no,11374,40.7281738,-73.8580001,Queens,NY,f350500a-353e-431c-9e73-f1210680a470
22,"Missionary Church of Christ, Inc.",937 Teller Ave,"- Under construction
- Survey to see the income and eligibility once a year.",FPC,open,open,unknown,2/28/2023 7:00 PM,3/1/2023,,Th 06:00PM-07:00PM,,,https://www.iglesiacristomisionera.org/,no,10451,40.8260061,-73.9158079,Bronx,NY,3c8d92e0-495d-4387-a9fe-09e67100085f
23,"Department of Probation, Manhattan",W 127th St,- Two visits per month allowed per individual,FPC,open,open,unknown,2/22/2023 7:00 PM,2/23/2023,,"Tu,Fr 09:00AM-12:00PM","Tu,Fr 09:00AM-12:00PM",,https://www1.nyc.gov/site/probation/index.page,no,10027,40.8106875,-73.9483363,New York,NY,a73a43ef-bb57-4084-8ee3-a31fcd410753
24,Church of the Crucifixion - Food Pantry,459 W 149th St,- Two forms of ID required,FPC,closed,closed,unknown,6/28/2023 8:00 PM,6/29/2023,,We 10:00AM-01:00PM,We 10:00AM-01:00PM,,http://churchofthecrucifixionnyc.org/,no,10031,40.8275004,-73.9445698,New York,NY,01a17b11-084c-4e7f-a9d8-abd6b81c6849
25,El Centro Del Inmigrante,260 Port Richmond Ave,"Tuesday's is at 260 Port Richmond Ave.
Thursday's is at 221 Heberton Avenue.
Same time.
",FPC,open,open,unknown,5/3/2023 8:00 PM,5/4/2023,,Tu 03:00PM-07:00PM,Tu 03:00PM-07:00PM,,,no,10302,40.635715,-74.1344217,Staten Island,NY,b9358dff-07ce-4acc-9bae-434ac4d9316c
26,Isaiah's Temple of Mt. Hope - Soup Kitchen,862 Glenmore Ave,"- Tuesday serves light lunch
- Thursday serves hot meal",FPC,open,open,unknown,4/26/2023 8:00 PM,4/27/2023,,"Tu,Th 02:00PM-04:00PM","Tu,Th 02:00PM-04:00PM",,https://www.homelessshelterdirectory.org/foodbank/ny_isaiahs-temple-of-mt-hope,yes,11208,40.6756261,-73.8781777,Brooklyn,NY,f0fb1833-7cda-42ca-b16b-ef36736aba91
27,Broadway Community - Food Pantry,601 W 114th St,"- Tuesday is ""Produce Pantry"" - first come, first serve
- Last Thursday of each month is ""Supermarket Pantry"" from 02:00PM-05:00PM, appointment required - can be made online at Broadway Community website",FPC,open,open,unknown,4/18/2023 8:00 PM,4/19/2023,,Tu 02:00PM-05:00PM,Tu 02:00PM-05:00PM,,http://broadwaycommunity.org/,no,10025,40.8070418,-73.9651341,New York,NY,db2bb2c6-fb79-41ec-a749-bec4a7e3b617
28,"Religious Society of Friends (Quakers), Brooklyn Monthly Meeting",110 Schermerhorn St,- To-go bag of non-perishables and free clothes available,FPC,open,open,,7/17/2021 8:00 PM,7/18/2021,,Su 02:00PM-05:00PM,Su 02:00PM-05:00PM,,,no,11201,40.69009,-73.98946,Brooklyn,NY,ef7032d0-8660-4558-b258-033e06a9295f
29,"La Jornada, Fuerza Migrante",100-05 39th Ave,"- To make an appointment, text ""Food"" to 762-879
- They inform the people in the area when they can get food
- They don't have a set schedule",FPC,open,open,,4/30/2023 8:00 PM,5/1/2023,,Sa 03:00PM-07:00PM,Sa 03:00PM-07:00PM,,http://lajornadany.org/,unknown,11368,40.75073233,-73.8654282,Queens,NY,f6b0cc1f-9f16-4d81-b519-709af01a7d0b
30,WHEDCo - Food Pantry,50 E 168th St,"- Tickets are issued at 8AM
- Visitors are allowed to pick up food once per month
- ID or proof of address is required",FPC,open,open,unknown,2/21/2023 7:00 PM,2/22/2023,,We 09:30AM-10:30AM,We 09:30AM-10:30AM,,https://whedco.org/,yes,10452,40.8362836,-73.9191271,Bronx,NY,65e37a6c-0c15-4b84-8d19-d20b75d64490
31,"East Flatbush Village, inc.",1011 Utica Ave,"- This location will be moving around during the month of May. 
    - Current address 1011 Utica Ave
- Donations: accepts perishables and non-perishables. ",FPC,open,open,,4/23/2023 8:00 PM,4/24/2023,,We 04:00PM-05:00PM,We 04:00PM-05:00PM,,https://eastflatbushvillage.org,yes,11210,40.636757,-73.937164,Brooklyn,NY,7d900c5b-932a-4a59-87e0-3510d8ecf5b2
32,"New York City Relief, East Harlem",540 Malcolm X Blvd (Lenox Ave) & 138th St,"- This location has: soup, bread, beverages, socks, hygiene kits, prayer, life care visits, and referrals to resources",FPC,open,open,,9/27/2021 8:00 PM,9/28/2021,,Sa 11:00AM-01:00PM,Sa 11:00AM-01:00PM,,https://newyorkcityrelief.org/our-locations,no,10035,40.80465,-73.93922,New York,NY,c011262a-5463-4d3c-993a-e8e72061c2a2
33,"New York City Relief, South Bronx - Soup Kitchen",148 St & Brook Ave,"- This location has: Soup, bread, beverages, socks, hygiene kits, prayer, life care visits & referrals to resources.",FPC,open,open,,10/13/2021 8:00 PM,10/14/2021,,Sa 11:00AM-01:00PM,Sa 11:00AM-01:00PM,,https://newyorkcityrelief.org/our-locations,no,10459,40.819559,-73.901665,Bronx,NY,5151c93b-5356-4748-91b4-2c31ffe1874c
34,"New York City Relief, South Bronx - Mobile Food Pantry",Brook Ave between 147th & 148th St,"- This location has: Soup, bread, beverages, socks, hygiene kits, prayer, life care visits & referrals to resources",FPC,open,open,,10/20/2021 8:00 PM,10/21/2021,,Sa 11:00AM-01:00PM,Sa 11:00AM-01:00PM,,https://newyorkcityrelief.org/our-locations,no,10455,40.81392,-73.91574,Bronx,NY,efa3f943-acd5-45fd-9525-d0bde09595fd
35,"New York City Relief, Chelsea Park - Mobile Soup Kitchen",28th St between 9 & 10 Ave,"- This location has: soup, bread, beverages, socks, hygiene kits
- Number currently not in service",FPC,open,open,,9/27/2021 8:00 PM,9/28/2021,,We 11:00AM-02:00PM,We 11:00AM-02:00PM,,https://newyorkcityrelief.org/our-locations,no,10001,40.749916,-74.000462,New York,NY,c445c908-6293-47c5-b9f0-bc023a1d3b71
36,"New York City Relief, East Harlem",124 St & Park Ave,"- This location has: soup, bread, beverages, socks, hygiene kits",FPC,open,open,,9/27/2021 8:00 PM,9/28/2021,,Sa 11:00AM-01:00PM,Sa 11:00AM-01:00PM,,https://newyorkcityrelief.org/our-locations,no,10035,40.791712,-73.949001,New York,NY,3b695278-45f0-4373-9bbc-53d3e24e4834
37,"New York City Relief, Chelsea Park - Soup Kitchen",28th St between 9 & 10 Ave,"- This location has: soup, bread, beverages, socks, hygiene kits",FPC,open,open,,10/5/2021 8:00 PM,10/6/2021,,We 11:00AM-01:00PM,We 11:00AM-01:00PM,,https://newyorkcityrelief.org/our-locations,no,10018,40.750253,-74.000544,New York,NY,2f15cc4b-542b-4f39-a015-92318af690bb
38,BRC Homeless Senior Services,30 Delancey St,"- This is not food pantry, provides meals only for members over 60 years old
- Membership-based organization--participants must be members and those that meet the age-requirement (60+) to be eligible for 1 free breakfast and lunch suggestion for one dollar
- no donation accepted
- Serves hot lunch for a price of one dollar",FPC,open,open,unknown,2/1/2023 7:00 PM,2/2/2023,,"mo,tu,we,th 08:00 AM-03:30PM
Fr 08:00AM-03:00PM","mo,tu,we,th 08:00 AM-03:30PM
Fr 08:00AM-03:00PM",,https://www.brc.org/locations,yes,10002,40.7203881,-73.9922313,New York,NY,fbacd514-b79b-43d4-a439-626639959398
39,Crossover Baptist Church Community Outreach Help Center - Soup Kitchen,85-12 101st Ave,They have events for everybody not just the people within the church.,FPC,open,open,unknown,2/28/2023 7:00 PM,3/1/2023,,,,,https://www.facebook.com/Crossover-Baptist-Church-185206401563014/,no,11416,40.6917982,-73.9400835,Queens,NY,cd79d7cf-f741-41ff-893a-699b22ce6ad5
40,Abundant Grace for the Forsaken,3101 Eastchester Rd,"- There's delivery, but only to elderly.
",Plentiful,open,open,open,7/13/2023 1:00 AM,4/27/2023,7/13/2023 1:00 AM,"2023-07-15 09:00AM-11:00AM
2023-07-22 09:00AM-11:00AM
2023-07-29 09:00AM-11:00AM
2023-08-05 09:00AM-11:00AM
2023-08-12 09:00AM-11:00AM
2023-08-19 09:00AM-11:00AM
2023-08-26 09:00AM-11:00AM
2023-09-02 09:00AM-11:00AM
2023-09-09 09:00AM-11:00AM
2023-09-16 09:00AM-11:00AM
2023-09-23 09:00AM-11:00AM
2023-09-30 09:00AM-11:00AM
2023-10-07 09:00AM-11:00AM",Sa 09:00AM-11:00AM,"2023-07-15 09:00AM-11:00AM
2023-07-22 09:00AM-11:00AM
2023-07-29 09:00AM-11:00AM
2023-08-05 09:00AM-11:00AM
2023-08-12 09:00AM-11:00AM
2023-08-19 09:00AM-11:00AM
2023-08-26 09:00AM-11:00AM
2023-09-02 09:00AM-11:00AM
2023-09-09 09:00AM-11:00AM
2023-09-16 09:00AM-11:00AM
2023-09-23 09:00AM-11:00AM
2023-09-30 09:00AM-11:00AM
2023-10-07 09:00AM-11:00AM",https://www.facebook.com/pages/category/Charismatic-Church/Abundant-Grace-Church-22264907591/,no,10469,40.8713168,-73.8439969,Bronx,NY,340a5e9c-f1a6-49fc-b42f-b3d00bc56958
41,Central Synogogue Breakfast Program,123 E 55th St,- There will normally be signs or someone to point you toward the right direction.,FPC,open,open,unknown,4/16/2023 8:00 PM,4/17/2023,,"Th,Fr 06:00AM-07:30AM","Th,Fr 06:00AM-07:30AM",,https://www.centralsynagogue.org/,no,10022,40.7600669,-73.970543,New York,NY,03d67891-9cee-417e-a2a1-22cefb5b6170
42,The Red Door Place (Hope for Our Neighbors in Need) - Soup Kitchen,201 W 13th St,"- There is an app required to make an appointment at the food pantry. It's called Plentiful.
- Plentiful is free, and can be downloaded on your phone. You will need to fill out basic info (you do not have to prove income or status,) 
- After basic info is entered, search for the Red Door Place and make a reservation. Make one when it's convenient for you, and come 5 mins before with the appointment confirmation on your phone.",FPC,open,open,unknown,4/30/2023 8:00 PM,5/1/2023,,Sa 12:00PM-02:00PM,"Sa 12:00PM-02:00PM 
",,https://www.churchofthevillage.org/hnn,no,10011,40.7381373,-74.0003114,New York,NY,60d5ebe4-5f3a-496a-b30d-80e62d9b97ad
43,"City Harvest Mobile Market, St. Mary's Park",595 Trinity Ave,- The St. Mary’s Mobile Markets are held in the parking lot adjacent to 595 Trinity Avenue,FPC,open,open,,2/28/2023 7:00 PM,3/1/2023,,"Tu 09:30AM-11:30AM
Sa 09:30AM-11:30AM ","Tu 09:30AM-11:30AM
Sa 09:30AM-11:30AM ",,https://www.cityharvest.org/programs/bronx-mobile-markets/,no,10455,40.8151385,-73.9097575,Bronx,NY,b27d72e1-fc02-45d4-8f05-22143ba62f8c
44,College of Staten Island Campus Pantry,2800 Victory Blvd,"- The program is open to currently enrolled CSI students only. A valid CSI Dolphin Card is required.
- Appointments are required. Schedule an appointment through a Google Form sent to student emails
- Located at Campus Center (Building 1C), Green Dolphin Lounge 
- for more information contact studentlife@csi.cuny.edu",FPC,open,open,,2/1/2023 7:00 PM,2/2/2023,,"We,Fr 10:30AM-01:00PM","We,Fr 10:30AM-01:00PM",,https://csitoday.com/2016/02/csi-food-pantry/,yes,10314,40.6087355,-74.1534323,Staten Island,NY,da0a73b5-601e-4efd-8fb0-93d6f157cb08
45,Greater Bethel Community Development,95-26 Sutphin Blvd,"- The food pantry operates in the parking lot in the back of the building (95-15 Waltham St)
- One-time proof of identification and address to sign-up for food pantry services
- By January new information about food pantry ",FPC,open,open,,2/6/2023 7:00 PM,2/7/2023,,Start from March 1st,Start from March 1st,,,no,11435,40.6978055,-73.80637732,Queens,NY,34a5da0a-e591-4dcd-93d6-4570d7da0343
46,"Volunteers of America, Horizon Program",349 E 149th St,- The food pantry is permanently closed.,FPC,closed,closed,,1/30/2023 7:00 PM,1/31/2023,,,,,https://www.voa-gny.org,unknown,10451,40.8168619,-73.9196783,Bronx,NY,dff6888f-0b44-4d65-9764-3d3790de84b2
47,Good Shepherd Lutheran Church,7420 4th Ave,"- The food pantry is open depending on donations/food availability. 
- Open to all",FPC,open,open,,4/20/2023 8:00 PM,4/21/2023,,"Tu 03:00PM-07:00PM
",,,https://www.goodshepherdbayridge.org/food-pantry.html,no,11209,40.63188073,-74.02531833,Brooklyn,NY,a7e572c6-e49f-4232-af49-4613bf4c74ed
48,Woodycrest United Methodist Church - Food Pantry,89 W 166th St,- The food pantry is closed but the soup kitchen is open on Wednesdays from 12pm until the food runs out.,FPC,closed,closed,,1/30/2023 7:00 PM,1/31/2023,,"tu,we,th 10:00AM-04:00PM",,,http://www.woodycrestumc.org/,unknown,10452,40.8353888,-73.9264985,Bronx,NY,0a012638-8ce0-4d1e-8299-6a04307b8133
49,First Church of God,21-23 Birdsall Ave,"- The first and third Wednesday of each month, food will be served from 9am to 11 am at the Church. Located at 14 25 Beach Channel Drive.",FPC,open,open,unknown,4/20/2023 8:00 PM,4/21/2023,,"Sa 11:00AM-01:00PM ""2nd and 4th Saturday of the month""","Sa 11:00AM-01:00PM ""2nd and 4th Saturday of the month""",,https://www.fcogny.org/contact_us,no,11691,40.6089539,-73.7541982,Queens,NY,2ef7b868-e90b-44a7-9535-27240b6a0a37
50,New York City Love Kitchen - Soup Kitchen,3816 9th Ave,"- The entrance is on the corner of 204th and 9th
- To-go meals only",FPC,open,open,,2/8/2023 7:00 PM,2/9/2023,,"mo,tu,we,th,fr 02:00PM-04:00PM","mo,tu,we,th,fr 02:00PM-04:00PM",,https://www.nyclovekitchen.com,no,10034,40.8622334,-73.9184841,New York,NY,0ecf7df9-8948-4c44-92b1-4599de4da9b7
51,The Door - Food Pantry,555 Broome St,"- The Door serves youth ages 12-24
- Need to be a member of The Door to receive food
- Text 646-392-8463 to get membership set up, or visit their website ",FPC,open,open,unknown,4/23/2023 8:00 PM,4/24/2023,,"Su 09:00AM-05:00PM
mo,tu,we,th,fr 10:00AM-6:00PM","Su 09:00AM-05:00PM
mo,tu,we,th,fr 10:00AM-6:00PM",,https://door.org/programs-services/food-and-nutrition/,no,10013,40.7241078,-74.0055982,New York,NY,d2e71b9b-79a9-4609-af8c-4d1843d59330
52,St. Mary's Episcopal Church - Food Pantry,521 W 126th St,"- The current pantry does not exist anymore, but they plan on opening one in the future",FPC,closed,closed,,4/19/2023 8:00 PM,4/20/2023,,"2023-07-14 10:00AM-12:00PM ""[plentiful appointment]""
2023-07-14 12:15PM-02:30PM ""[plentiful appointment]""
2023-07-17 01:00PM-03:00PM ""[plentiful appointment]""
2023-07-21 10:00AM-12:00PM ""[plentiful appointment]""
2023-07-21 12:15PM-02:30PM ""[plentiful appointment]""
2023-07-24 01:00PM-03:00PM ""[plentiful appointment]""
2023-07-28 10:00AM-12:00PM ""[plentiful appointment]""
2023-07-28 12:15PM-02:30PM ""[plentiful appointment]""
2023-07-31 01:00PM-03:00PM ""[plentiful appointment]""
2023-08-04 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-04 12:15PM-02:30PM ""[plentiful appointment]""
2023-08-07 01:00PM-03:00PM ""[plentiful appointment]""
2023-08-11 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-11 12:15PM-02:30PM ""[plentiful appointment]""
2023-08-14 01:00PM-03:00PM ""[plentiful appointment]""
2023-08-18 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-18 12:15PM-02:30PM ""[plentiful appointment]""
2023-08-21 01:00PM-03:00PM ""[plentiful appointment]""
2023-08-25 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-25 12:15PM-02:30PM ""[plentiful appointment]""
2023-08-28 01:00PM-03:00PM ""[plentiful appointment]""
2023-09-01 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-01 12:15PM-02:30PM ""[plentiful appointment]""
2023-09-04 01:00PM-03:00PM ""[plentiful appointment]""
2023-09-08 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-08 12:15PM-02:30PM ""[plentiful appointment]""
2023-09-11 01:00PM-03:00PM ""[plentiful appointment]""
2023-09-15 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-15 12:15PM-02:30PM ""[plentiful appointment]""
2023-09-18 01:00PM-03:00PM ""[plentiful appointment]""
2023-09-22 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-22 12:15PM-02:30PM ""[plentiful appointment]""
2023-09-25 01:00PM-03:00PM ""[plentiful appointment]""
2023-09-29 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-29 12:15PM-02:30PM ""[plentiful appointment]""
2023-10-02 01:00PM-03:00PM ""[plentiful appointment]""
2023-10-06 10:00AM-12:00PM ""[plentiful appointment]""
2023-10-06 12:15PM-02:30PM ""[plentiful appointment]""",,,https://www.stmarysharlem.org/outreach-work,yes,10027,40.81485,-73.956305,New York,NY,f8016406-ebb3-4929-a9c9-e460e17678a6
53,Trinity's Services and Food for the Homeless - Soup Kitchen,602 E 9th St,- Text start to 646-257-2520 (Only text) to set up.,FPC,open,open,,5/16/2023 8:00 PM,5/17/2023,,"mo,tu,we,th,fr 11:00AM-12:00PM","mo,tu,we,th,fr 11:00AM-12:00PM",,http://safhnyc.org,no,10009,40.7260344,-73.980189,New York,NY,cc97d023-aee3-4e1a-99b8-4af3146ce89e
